status	grade	xm_bytes	t10p_bytes	firmware_bytes	xm_sha256	t10p_sha256	warnings	source_url	path	error
too-large	approximate	144030	73305	103538	d88a37aa538f58f34f82e901528158eeed893d3d6e59f901a8e9fb94db61e08f	8baaf1cc5b3c4747e8c1af6a06b948f9ece3260bb5b966a3bf159c457ef74f4c	2 invert-loop commands are discarded; 12 set-volume commands above 64 are clamped; 2 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 8 non-looped samples become 16 kHz PCM one-shots; 8 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Tip/gummisnoppis.mod	Tip/gummisnoppis.mod	
fit	approximate	23846	18563	48796	724ffe15f46a2d366b99edfdd5b0f0e50cdb0992600f5b1d6742596c55c03b4b	5d509edb2af0bd011784c82f00f16ce7852f23b7b46cd998aa301c0e579df3da	32 vibrato-volume slides keep only the volume slide; 1 Amiga LED filter commands are ignored; 1 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 10 non-looped samples become 16 kHz PCM one-shots; 2 short loops become 16-point wavetables and sustain until cut; 6 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Tip/i%20vote%204%20rebels%20too.mod	Tip/i vote 4 rebels too.mod	
too-large	approximate	221086	143476	173709	5c78d2ec51154d610ec91365f2babd19e9c6788a83d8232cc3cbd03de3ef8329	360e1b62933bc661c7bfef943908b8a27ea15d35ffa6db01660e16550345248b	1 set-volume commands above 64 are clamped; 4 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 22 non-looped samples become 16 kHz PCM one-shots; 23 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Tip/obvious%20disaster.mod	Tip/obvious disaster.mod	
too-large	approximate	103802	52159	82392	d70b855c41f9e9b4b8075c8a254db9777535ace7c620c4660e06aeda80efd75f	205f2392f5ee380cd173a470716eaa2aa7329bde0c48273c8698eb255603cf9b	1 Amiga LED filter commands are ignored; 2 invert-loop commands are discarded; 3 set-volume commands above 64 are clamped; 2 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 7 non-looped samples become 16 kHz PCM one-shots; 7 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Tip/orchestra-rock2.mod	Tip/orchestra-rock2.mod	
too-large	approximate	101062	70979	101212	76a81851ee10c8565c9e2f48359dc7f7378139d95e08c4f165347fe3715f5e94	ad52d4e485eb3eb4c07fd7c22a8506c77c51623789eed6e2cbdeef706b4419b1	1 Amiga LED filter commands are ignored; 9 non-looped samples become 16 kHz PCM one-shots; 6 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Tip/snurresnow.mod	Tip/snurresnow.mod	
fit	approximate	11846	11031	41264	dc7f192a6231487b9220b37d4dfe16925db545f40f7ea55042220200cb85aa69	408d4b8cc5123170ee3ecc6834372982c85d1e868b48e264bc0bc1a11a7c5cdd	55 vibrato-volume slides keep only the volume slide; 1 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 3 non-looped samples become 16 kHz PCM one-shots; 3 short loops become 16-point wavetables and sustain until cut; 2 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Tip/tip%27s%20dilemma.mod	Tip/tip's dilemma.mod	
fit	approximate	35248	25966	56199	7421e83240abfe1ad8a8eb9dc221e90913a7ec4132612f0ef892a1bd5e39a600	789f6dd7ed4aa86987baca6ef3ae088894e0e42e7f9141f5ba087583f89706e5	3 non-looped samples become 16 kHz PCM one-shots; 3 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Tip/tipandtra.mod	Tip/tipandtra.mod	
too-large	approximate	140892	117740	147973	bfb74d43d91fa3d5638a1cecc1af80e991b8034375d334b284c1663f07c66938	1aea06c822672d6f1e63da0ac6e6e9b979f2cbb2df983d24a642ecdbfe5161d0	368 vibrato-volume slides keep only the volume slide; 7 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 22 non-looped samples become 16 kHz PCM one-shots; 24 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Tip/vattnadal%20of%2074.mod	Tip/vattnadal of 74.mod	
fit	approximate	52604	24442	54675	1b8540a5192967f643782bff9f3ce6085dd0f7c39b0b39ed394d028991f30c2f	082178137e6530844df9685859eb3b2ab650066bf079f163594373ab4194aff4	3 non-looped samples become 16 kHz PCM one-shots; 3 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Tip/vaxjo%20by%20night.mod	Tip/vaxjo by night.mod	
too-large	approximate	88882	49259	79492	91e6159a653410fa10004cf25e927025dbfd482e1cd6d4fce3b6895c4aaebd63	c1ee358c0c6d16387b0c7b2501e3caab100c06db57bd712b3c6fb8252791eed0	3 Amiga LED filter commands are ignored; 7 non-looped samples become 16 kHz PCM one-shots; 5 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Walkman/1081-speakerbuster.mod	Walkman/1081-speakerbuster.mod	
fit	approximate	51326	32137	62370	b6346f57b058e9249e23e956216977d099f8329010f96d57ba4615d915eae5ce	1e6b00a154f2c1d736bb87c9b5bb9e9b8647994ef94a6685971679ecfa4667e0	1 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 7 non-looped samples become 16 kHz PCM one-shots; 1 short loops become 16-point wavetables and sustain until cut; 5 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Walkman/a%20solid%20breakfast.mod	Walkman/a solid breakfast.mod	
too-large	approximate	165700	111266	141499	2e06e7afb4339c3a6d38a84a477215827031beed36ee274b702835adfd16e795	5952b045c466eafe3150f4e7f664f79cd1267ec4dc53020f2a39acc312d9939d	1 Amiga LED filter commands are ignored; 1 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 11 non-looped samples become 16 kHz PCM one-shots; 11 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Walkman/audiokraft.mod	Walkman/audiokraft.mod	
too-large	approximate	94670	60908	91141	691e628040c92e860f43639276311aa69f970e8e9c7ac5e067c7332112cc0671	575a0a03edc35c76786d7d3ba35b3afb4fd94e56834281a052700f10a9f284ae	1 Amiga LED filter commands are ignored; 9 non-looped samples become 16 kHz PCM one-shots; 6 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Walkman/baby.mod	Walkman/baby.mod	
fit	approximate	53216	32336	62569	516777daf8c77fdbbd370a2fb4568098412d69df68742f500534584a2e402f4f	11ee65c8d5d455d995821091b7a77a7e146c0165fcc8792ddfb9273829590159	3 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 4 non-looped samples become 16 kHz PCM one-shots; 5 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Walkman/beams%20of%20light.mod	Walkman/beams of light.mod	
fit	approximate	196626	32340	62573	436683613535315b789209e2324c033c3e0fb4a23ef9015dcbafb50b549488da	74382e967c6ebcc0135d4135f1ec9db01500a90f387c9c762ed683c994ac572c	3 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 4 non-looped samples become 16 kHz PCM one-shots; 5 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Walkman/beams%20of%20light_alt.mod	Walkman/beams of light_alt.mod	
